step,epoch,train_loss,val_loss,lr,epoch_time_sec,train_acc@1,val_acc@1,train_mrr@1,val_mrr@1,train_ndcg@1,val_ndcg@1,train_acc@5,val_acc@5,train_mrr@5,val_mrr@5,train_ndcg@5,val_ndcg@5,train_acc@10,val_acc@10,train_mrr@10,val_mrr@10,train_ndcg@10,val_ndcg@10,train_rr_acc@1,val_rr_acc@1,train_rr_mrr@1,val_rr_mrr@1,train_rr_ndcg@1,val_rr_ndcg@1,train_rr_acc@5,val_rr_acc@5,train_rr_mrr@5,val_rr_mrr@5,train_rr_ndcg@5,val_rr_ndcg@5,train_rr_acc@10,val_rr_acc@10,train_rr_mrr@10,val_rr_mrr@10,train_rr_ndcg@10,val_rr_ndcg@10,train_cand_hit_rate,val_cand_hit_rate,context_mode
32,0,5.735789075493813,4.848547805439342,0.0001,4.8892881870269775,0.01129150390625,0.030007102272727272,0.01129150390625,0.030007102272727272,0.01129150390625,0.030007102272727272,0.03900146484375,0.10563616082072258,0.020876058109934092,0.05251496632329442,0.025359088231198257,0.06556435183367947,0.05670166015625,0.12398031658746979,0.023211112904391484,0.0553662334992127,0.031055598003149498,0.07189716024599462,0.03167724609375,0.030007102272727272,0.03167724609375,0.030007102272727272,0.03167724609375,0.030007102272727272,0.09165874280733988,0.12634435905651611,0.053682188474340364,0.07407755323220044,0.06311827809986426,0.08754715183749795,0.13090434827608988,0.1504920863292434,0.05904904332419392,0.07698962397196076,0.07594012835761532,0.09503939434547316,0.8078259918838739,0.7823660698803988,none
64,1,4.441542983055115,3.8107451525601475,0.0001,4.311976432800293,0.038580643478780985,0.028586647727272728,0.038580643478780985,0.028586647727272728,0.038580643478780985,0.028586647727272728,0.12205746304243803,0.12327008931474252,0.06885349385265727,0.07321978262255223,0.08215154029312544,0.08619228083195841,0.14373779296875,0.13344663178378885,0.07178944602947013,0.07441025808326561,0.08920617896910699,0.08931134016761048,0.038702713791280985,0.028586647727272728,0.038702713791280985,0.028586647727272728,0.038702713791280985,0.028586647727272728,0.1483925268985331,0.12492390451106158,0.08045210116324597,0.07357700988756154,0.0975554503093008,0.08685794865331528,0.19071558862924576,0.22730823877182874,0.08573640072427224,0.08586845360696316,0.11087238785694353,0.1185774195261977,0.8099268861114979,0.7823660698803988,none
96,2,3.7286093086004257,3.225245952606201,0.0001,4.279696941375732,0.0821533203125,0.07314326309344986,0.0821533203125,0.07314326309344986,0.0821533203125,0.07314326309344986,0.15817742608487606,0.16901379891417243,0.11061288852943107,0.1035700799389319,0.1224789769621566,0.11949588561599905,0.22279116977006197,0.2698457796465267,0.11925057743792422,0.1182155406144871,0.14338731739553623,0.15330665897239337,0.0821533203125,0.07314326309344986,0.0821533203125,0.07314326309344986,0.0821533203125,0.07314326309344986,0.18126156460493803,0.2036931819536469,0.11562077081180178,0.11052371104332534,0.13175281751318835,0.13292726908217778,0.27810187079012394,0.2737520296465267,0.12838797261065338,0.12101851204748858,0.16291409882251173,0.15673043206334114,0.8060752470046282,0.7823660698803988,none
128,3,3.2066147550940514,2.599998105656017,0.0001,4.296118497848511,0.08470073499483988,0.07314326309344986,0.08470073499483988,0.07314326309344986,0.08470073499483988,0.07314326309344986,0.18687358684837818,0.15564123405651611,0.11971151714897132,0.10258514366366646,0.13626074593048543,0.1157631975683299,0.28596255648881197,0.2806767455556176,0.13470307796887937,0.12096162885427475,0.17007129127159715,0.1579088270664215,0.08470073499483988,0.07314326309344986,0.08470073499483988,0.07314326309344986,0.08470073499483988,0.07314326309344986,0.18760600872337818,0.15564123405651611,0.11988851686692215,0.10258514366366646,0.13657083350699395,0.1157631975683299,0.29273745883256197,0.2806767455556176,0.1357095494568057,0.12096162885427475,0.1723566164728254,0.1579088270664215,0.8036242034286261,0.7823660698803988,none
160,4,2.9421145170927048,2.3098563714460894,0.0001,4.268041372299194,0.08645148016512394,0.07314326309344986,0.08645148016512394,0.07314326309344986,0.08645148016512394,0.07314326309344986,0.18802361749112606,0.1865361204201525,0.11959640689565276,0.10741215355069884,0.1363591432236717,0.12665289007021452,0.3057122491300106,0.2806767455556176,0.1365169793862151,0.12070896484973756,0.17564969801605912,0.15786527656018734,0.08645148016512394,0.07314326309344986,0.08645148016512394,0.07314326309344986,0.08645148016512394,0.07314326309344986,0.18796258233487606,0.1865361204201525,0.11958114950357412,0.10741215355069884,0.1363328566440032,0.12665289007021452,0.3060784600675106,0.2806767455556176,0.13654296316963155,0.12070896484973756,0.1757461377492291,0.15786527656018734,0.8116776309907436,0.7823660698803988,none
192,5,2.529558129608631,2.3484126221049917,0.0001,4.2718141078948975,0.0843505859375,0.07314326309344986,0.0843505859375,0.07314326309344986,0.0843505859375,0.07314326309344986,0.21606766525655985,0.19701197269287976,0.12348745350027457,0.11136236807215028,0.14589322400570381,0.1321627911847,0.29895340744405985,0.2806767455556176,0.13547785836271942,0.1229132025248625,0.17364321714558173,0.15964360010217538,0.0843505859375,0.07314326309344986,0.0843505859375,0.07314326309344986,0.0843505859375,0.07314326309344986,0.21594559494405985,0.19701197269287976,0.12346304074162617,0.11136236807215028,0.1458459994319128,0.1321627911847,0.29919754806905985,0.2806767455556176,0.1355054684681818,0.1229132025248625,0.17371702899981756,0.15964360010217538,0.8102770354598761,0.7823660698803988,none
224,6,2.24990214407444,2.063592412255027,0.0001,4.264663219451904,0.08540103305131197,0.07314326309344986,0.08540103305131197,0.07314326309344986,0.08540103305131197,0.07314326309344986,0.22111109644174576,0.19701197269287976,0.12867887041647919,0.11176187192904763,0.15116166177904233,0.13251842094310137,0.29563502222299576,0.27890117737379944,0.13977065251674503,0.12477072457973422,0.17641001241281629,0.16105727130674163,0.08540103305131197,0.07314326309344986,0.08540103305131197,0.07314326309344986,0.08540103305131197,0.07314326309344986,0.22117213159799576,0.19701197269287976,0.12868598938803189,0.11174707575330765,0.151181043300312,0.13250611122930422,0.29569605737924576,0.2810318591919812,0.13977951716515236,0.1249689953666265,0.17643087962642312,0.16166086722461676,0.8071256931871176,0.7823660698803988,none
256,7,2.2667373046278954,1.5297813415527344,0.0001,4.266128301620483,0.0843505859375,0.07314326309344986,0.0843505859375,0.07314326309344986,0.0843505859375,0.07314326309344986,0.21979402238503098,0.19701197269287976,0.1269336901314091,0.11149553737910041,0.14950222842162475,0.13229686167323962,0.290961014572531,0.27890117737379944,0.13799263051487287,0.1245043893524615,0.1740616614370083,0.16083571610083294,0.0843505859375,0.07314326309344986,0.0843505859375,0.07314326309344986,0.0843505859375,0.07314326309344986,0.21979402238503098,0.19701197269287976,0.12694182872655801,0.11149553737910041,0.14950913441134617,0.13229686167323962,0.293036209885031,0.281209416010163,0.1382082882978466,0.12473521511260928,0.17466843218062422,0.1615029467502609,0.8050247989594936,0.7823660698803988,none
288,8,1.8280908316373825,1.7414392558011142,0.0001,4.285149812698364,0.0843505859375,0.07314326309344986,0.0843505859375,0.07314326309344986,0.0843505859375,0.07314326309344986,0.21844482421875,0.19701197269287976,0.12556661147391424,0.11149553737910041,0.14808985437412048,0.13229686167323962,0.29351806640625,0.2907974841919812,0.136861699342262,0.12569401983108203,0.17362269826844567,0.164274519383484,0.0843505859375,0.07314326309344986,0.0843505859375,0.07314326309344986,0.0843505859375,0.07314326309344986,0.21820068359375,0.19701197269287976,0.1255096447712276,0.11149553737910041,0.1479885029621073,0.13229686167323962,0.2985068873385899,0.2932832796465267,0.1373443036354729,0.12594259964746676,0.1750504032461322,0.16499307301869107,0.8071256931871176,0.7823660698803988,none
320,9,1.6948226541280746,1.2894597053527832,0.0001,4.755728721618652,0.08505088405217975,0.07314326309344986,0.08505088405217975,0.07314326309344986,0.08505088405217975,0.07314326309344986,0.22159295342862606,0.19701197269287976,0.1277295048785163,0.11274452118033712,0.15058195368692395,0.1333915698130361,0.30228142999112606,0.2932832796465267,0.13968200143426657,0.12719158564736557,0.17783449420312536,0.1660877801477909,0.08505088405217975,0.07314326309344986,0.08505088405217975,0.07314326309344986,0.08505088405217975,0.07314326309344986,0.22140984795987606,0.19701197269287976,0.1276593141228659,0.11259359984912655,0.15048237830706057,0.1332592908504673,0.30508904717862606,0.2932832796465267,0.13992309174500406,0.12704066397749225,0.17861172337507014,0.1659554998305711,0.8102770354598761,0.7823660698803988,none
